"Time (s)","Pressure (hPa)"
1.884700665E3,9.648796997E2
1.884734173E3,9.648696899E2
1.884767773E3,9.648796997E2
1.884801343E3,9.648596802E2
1.884834943E3,9.648596802E2
1.884868451E3,9.648497314E2
1.884902051E3,9.648596802E2
1.884935590E3,9.648596802E2
1.884969189E3,9.648696899E2
1.885002728E3,9.648696899E2
1.885036298E3,9.648796997E2
1.885069867E3,9.648796997E2
1.885103467E3,9.648796997E2
1.885137006E3,9.648796997E2
1.885170605E3,9.648696899E2
1.885204144E3,9.648596802E2
1.885237744E3,9.648596802E2
1.885271283E3,9.648497314E2
1.885304852E3,9.648696899E2
1.885338422E3,9.648497314E2
1.885372021E3,9.648497314E2
1.885405591E3,9.648497314E2
1.885439191E3,9.648397217E2
1.885472699E3,9.648297119E2
1.885506299E3,9.648397217E2
1.885539838E3,9.648696899E2
1.885573437E3,9.648896484E2
1.885606976E3,9.648896484E2
1.885641461E3,9.648796997E2
1.885674115E3,9.648796997E2
1.885707745E3,9.648696899E2
1.885741254E3,9.648796997E2
1.885774884E3,9.648696899E2
1.885808423E3,9.648696899E2
1.885841962E3,9.648596802E2
1.885875531E3,9.648497314E2
1.885909100E3,9.648596802E2
1.885942670E3,9.648497314E2
1.885976269E3,9.648397217E2
1.886009808E3,9.648497314E2
1.886043378E3,9.648497314E2
1.886076947E3,9.648596802E2
1.886110516E3,9.648796997E2
1.886144086E3,9.648596802E2
1.886177655E3,9.648696899E2
1.886211224E3,9.648696899E2
1.886244824E3,9.648696899E2
1.886278363E3,9.648796997E2
1.886311963E3,9.648796997E2
1.886345502E3,9.648796997E2
1.886379101E3,9.648596802E2
1.886412640E3,9.648796997E2
1.886446240E3,9.648696899E2
1.886479779E3,9.648696899E2
1.886513348E3,9.648696899E2
1.886546918E3,9.648497314E2
1.886580548E3,9.648596802E2
1.886614056E3,9.648596802E2
1.886647656E3,9.648696899E2
1.886681195E3,9.648497314E2
1.886714795E3,9.648497314E2
1.886748334E3,9.648497314E2
1.886781903E3,9.648297119E2
1.886815472E3,9.648297119E2
1.886849072E3,9.648297119E2
1.886882611E3,9.648397217E2
1.886916211E3,9.648497314E2
1.886949750E3,9.648497314E2
1.886983350E3,9.648596802E2
1.887016888E3,9.648696899E2
1.887050488E3,9.648497314E2
1.887084058E3,9.648397217E2
1.887117627E3,9.648497314E2
1.887151166E3,9.648397217E2
1.887184766E3,9.648497314E2
1.887218304E3,9.648397217E2
1.887251874E3,9.648497314E2
1.887285443E3,9.648397217E2
1.887319012E3,9.648596802E2
1.887352582E3,9.648497314E2
1.887386167E3,9.648497314E2
1.887419737E3,9.648397217E2
1.887453337E3,9.648497314E2
1.887486875E3,9.648397217E2
1.887520445E3,9.648397217E2
1.887554014E3,9.648297119E2
1.887587583E3,9.648397217E2
1.887621122E3,9.648297119E2
1.887654692E3,9.648096924E2
1.887688261E3,9.647997437E2
1.887722410E3,9.647897339E2
1.887755400E3,9.648096924E2
1.887788999E3,9.647997437E2
1.887822538E3,9.648096924E2
1.887856138E3,9.647997437E2
1.887889677E3,9.647997437E2
1.887923246E3,9.647997437E2
1.887956846E3,9.647897339E2
1.887990415E3,9.647997437E2
1.888023954E3,9.647997437E2
1.888057585E3,9.647897339E2
1.888091093E3,9.648096924E2
1.888124662E3,9.647897339E2
1.888158232E3,9.647897339E2
1.888191831E3,9.648096924E2
1.888225370E3,9.647997437E2
1.888258970E3,9.647897339E2
1.888292509E3,9.647697754E2
1.888326109E3,9.647697754E2
1.888359648E3,9.647597656E2
1.888393248E3,9.647897339E2
1.888426786E3,9.647897339E2
1.888460417E3,9.647797241E2
1.888493925E3,9.647797241E2
1.888527525E3,9.647797241E2
1.888561064E3,9.647597656E2
1.888594664E3,9.647597656E2
1.888628233E3,9.647497559E2
1.888661802E3,9.647497559E2
1.888695341E3,9.647397461E2
1.888728941E3,9.647297363E2
1.888762480E3,9.647097778E2
1.888796080E3,9.647197876E2
1.888829649E3,9.647297363E2
1.888863218E3,9.647197876E2
1.888896757E3,9.647097778E2
1.888931150E3,9.647197876E2
1.888963896E3,9.647197876E2
1.888997496E3,9.647297363E2
1.889031065E3,9.647397461E2
1.889064634E3,9.647397461E2
1.889098173E3,9.647397461E2
1.889131773E3,9.647397461E2
1.889165342E3,9.647397461E2
1.889198881E3,9.647197876E2
1.889232481E3,9.647197876E2
1.889266081E3,9.647097778E2
1.889299589E3,9.647197876E2
1.889333189E3,9.647297363E2
1.889366728E3,9.647297363E2
1.889400297E3,9.647297363E2
1.889433866E3,9.647297363E2
1.889467497E3,9.647097778E2
1.889501036E3,9.647097778E2
1.889534605E3,9.647097778E2
1.889568174E3,9.647097778E2
1.889601744E3,9.647097778E2
1.889635282E3,9.647097778E2
1.889668882E3,9.646997681E2
1.889702421E3,9.646997681E2
1.889735990E3,9.646997681E2
1.889769560E3,9.647097778E2
1.889803160E3,9.647097778E2
1.889836698E3,9.647197876E2
1.889871244E3,9.647297363E2
1.889903837E3,9.647297363E2
1.889937467E3,9.647197876E2
1.889970976E3,9.647097778E2
1.890004576E3,9.647097778E2
1.890038114E3,9.646997681E2
1.890071714E3,9.647097778E2
1.890105253E3,9.647097778E2
1.890138853E3,9.646898193E2
1.890172392E3,9.646798096E2
1.890205992E3,9.646898193E2
1.890239530E3,9.646997681E2
1.890273100E3,9.647097778E2
1.890306700E3,9.647097778E2
1.890340269E3,9.646997681E2
1.890373808E3,9.646997681E2
1.890407408E3,9.646997681E2
1.890440946E3,9.647097778E2
1.890474546E3,9.647097778E2
1.890508085E3,9.647097778E2
1.890541685E3,9.647097778E2
1.890575224E3,9.647197876E2
1.890608824E3,9.647297363E2
1.890642362E3,9.647297363E2
1.890675962E3,9.647197876E2
1.890709501E3,9.647297363E2
1.890743101E3,9.647297363E2
1.890776640E3,9.647297363E2
1.890810240E3,9.647297363E2
1.890843779E3,9.647097778E2
1.890877378E3,9.646997681E2
1.890910917E3,9.646898193E2
1.890944517E3,9.646997681E2
1.890978056E3,9.646898193E2
1.891011656E3,9.646898193E2
1.891045225E3,9.646997681E2
1.891078794E3,9.646898193E2
1.891112333E3,9.647097778E2
1.891145933E3,9.647097778E2
1.891179472E3,9.647097778E2
1.891213072E3,9.647197876E2
1.891246641E3,9.647197876E2
1.891280210E3,9.647197876E2
1.891313780E3,9.647297363E2
1.891347349E3,9.647297363E2
1.891380888E3,9.647297363E2
1.891414457E3,9.647297363E2
1.891448027E3,9.647397461E2
1.891481840E3,9.647397461E2
1.891515196E3,9.647497559E2
1.891548765E3,9.647397461E2
1.891582334E3,9.647497559E2
1.891615904E3,9.647397461E2
1.891649473E3,9.647397461E2
1.891683042E3,9.647297363E2
1.891716612E3,9.647297363E2
1.891750212E3,9.647597656E2
1.891783720E3,9.647397461E2
1.891817350E3,9.647497559E2
1.891850889E3,9.647697754E2
1.891884458E3,9.647797241E2
1.891917997E3,9.647697754E2
1.891952543E3,9.647597656E2
1.891985136E3,9.647597656E2
1.892018736E3,9.647397461E2
1.892052275E3,9.647397461E2
1.892085874E3,9.647397461E2
1.892119413E3,9.647397461E2
1.892153013E3,9.647597656E2
1.892186552E3,9.647597656E2
1.892221098E3,9.647497559E2
1.892253691E3,9.647397461E2
1.892287260E3,9.647397461E2
1.892320829E3,9.647397461E2
1.892354429E3,9.647397461E2
1.892387968E3,9.647397461E2
1.892421537E3,9.647397461E2
1.892455107E3,9.647297363E2
1.892488737E3,9.647397461E2
1.892522276E3,9.647397461E2
1.892555845E3,9.647497559E2
1.892589414E3,9.647397461E2
1.892622984E3,9.647497559E2
1.892656523E3,9.647597656E2
1.892690123E3,9.647397461E2
1.892723661E3,9.647397461E2
1.892757261E3,9.647497559E2
1.892790800E3,9.647397461E2
1.892824430E3,9.647397461E2
1.892857969E3,9.647497559E2
1.892891539E3,9.647397461E2
1.892925077E3,9.647497559E2
